##	sampleID	platform	readLenPE	refSample	refSpikeIn	propSpikeIn	chimericName	refDirA1	refDirA2	fastq1Path	fastq2Path	outPath	suffChrSample	suffChrSpikein	bamAlignAR1	bamAlignAR2	bamA1	bamA2	tabNChrom	nFastq	nAlignAR1	nAlignAR1Sample	nAlignAR1Spikein	pUMapAR1	pManyAR1	pMissAR1	pShortAR1	pOtherAR1	nAlignAR2	nAlignAR2Sample	nAlignAR2Spikein	pUMapAR2	pManyAR2	pMissAR2	pShortAR2	pOtherAR2	nA1	nA2	nNoA	nA1Sample	nA2Sample	nA1Spikein	nA2Spikein
1	LOVSON_M1W1_1A	Illumina	150	Mouse	Roundworm	0.73	129S1xCAST_N2xHawaii	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/129S1xCAST_N2xHawaii/A1/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/129S1xCAST_N2xHawaii/A2/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A1_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A1_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	m	w	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2	LOVSON_M1W1_1B	Illumina	150	Mouse	Roundworm	0.73	129S1xCAST_N2xHawaii	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/129S1xCAST_N2xHawaii/A1/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/129S1xCAST_N2xHawaii/A2/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B1_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B1_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	m	w	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3	LOVSON_M1W1_1C	Illumina	150	Mouse	Roundworm	0.73	129S1xCAST_N2xHawaii	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/129S1xCAST_N2xHawaii/A1/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/129S1xCAST_N2xHawaii/A2/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C1_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C1_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	m	w	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4	LOVSON_H1M1_2A	Illumina	150	Human	Mouse	0.16	NA12878_129S1xCAST	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_129S1xCAST/A1/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_129S1xCAST/A2/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A2_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A2_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	h	m	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5	LOVSON_H1M1_2B	Illumina	150	Human	Mouse	0.16	NA12878_129S1xCAST	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_129S1xCAST/A1/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_129S1xCAST/A2/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B2_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B2_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	h	m	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6	LOVSON_H1M1_2C	Illumina	150	Human	Mouse	0.16	NA12878_129S1xCAST	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_129S1xCAST/A1/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_129S1xCAST/A2/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C2_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C2_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	h	m	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7	LOVSON_H1W1_3A	Illumina	150	Human	Roundworm	0.35	NA12878_N2xHawaii	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_N2xHawaii/A1/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_N2xHawaii/A2/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A3_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A3_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	h	w	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
8	LOVSON_H1W1_3B	Illumina	150	Human	Roundworm	0.35	NA12878_N2xHawaii	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_N2xHawaii/A1/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_N2xHawaii/A2/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B3_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B3_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	h	w	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9	LOVSON_H1W1_3C	Illumina	150	Human	Roundworm	0.35	NA12878_N2xHawaii	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_N2xHawaii/A1/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_N2xHawaii/A2/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C3_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C3_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	h	w	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
10	LOVSON_H1M1_4A	Illumina	150	Human	Mouse	0.06	NA12878_129S1xCAST	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_129S1xCAST/A1/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_129S1xCAST/A2/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A4_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A4_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	h	m	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
11	LOVSON_H1M1_4B	Illumina	150	Human	Mouse	0.06	NA12878_129S1xCAST	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_129S1xCAST/A1/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_129S1xCAST/A2/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B4_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B4_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	h	m	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
12	LOVSON_H1M1_4C	Illumina	150	Human	Mouse	0.06	NA12878_129S1xCAST	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_129S1xCAST/A1/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_129S1xCAST/A2/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C4_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C4_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	h	m	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
